name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos,nigeria",7 11 2020,33.1,25,28,41.5,25,31.7,25,84.3,18,100,4.17,rain,0,0,29.2,18,240.6,1012.7,64.6,10.1,196.9,17,7,,2020-11-07T06:34:16,2020-11-07T18:25:55,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",8 11 2020,32.1,25,27.5,40.4,25,30.1,24.7,85.6,0.4,100,12.5,rain,0,0,27,11.2,237.6,1013.7,59.4,9.1,221.1,19.2,8,,2020-11-08T06:34:28,2020-11-08T18:25:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",9 11 2020,31,25,27.2,37.7,25,30,24.8,86.9,3,100,4.17,rain,0,0,19.4,14.8,251.8,1013.5,62.2,8.9,171.9,14.9,6,,2020-11-09T06:34:42,2020-11-09T18:25:48,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",10 11 2020,32,25,27.4,39.2,25,30.2,24.5,84.4,3.6,100,25,rain,0,0,27.7,50.4,181.9,1012.2,53.1,9.8,190.7,16.3,6,,2020-11-10T06:34:56,2020-11-10T18:25:46,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",11 11 2020,29.6,24,26.4,36.2,24,27.7,24.4,89.3,56,100,8.33,rain,0,0,35.3,46.3,144.2,1012.1,61.1,9.6,194.5,16.9,7,,2020-11-11T06:35:11,2020-11-11T18:25:45,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",12 11 2020,35.1,23.6,28.2,43.5,23.6,31.7,24.6,82.3,0,0,0,,0,0,22.7,14.8,295.1,1011.6,54.2,8.9,239,20.4,9,,2020-11-12T06:35:26,2020-11-12T18:25:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",13 11 2020,36,25.5,28.9,40,25.5,32.5,24.1,78.4,0,0,0,,0,0,25.9,29.5,279.4,1011.8,47.6,10.9,251.3,21.8,9,,2020-11-13T06:35:42,2020-11-13T18:25:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",14 11 2020,32.8,25.2,28.3,40.6,25.2,32.4,25.1,83.2,1.3,100,25,rain,0,0,27,21.6,195.3,1011.7,73.1,8,205.8,17.8,7,,2020-11-14T06:35:59,2020-11-14T18:25:48,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",15 11 2020,33,24.7,28.3,42.1,24.7,32.6,25,83,8,100,4.17,rain,0,0,27.4,36,232.9,1010.3,71.5,9.8,222.6,19.2,9,,2020-11-15T06:36:17,2020-11-15T18:25:51,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",16 11 2020,32.3,24,27.4,40.5,24,30.7,24.3,83.9,0.9,100,29.17,rain,0,0,26.6,21.6,219.9,1011.7,56.2,10,203.6,17.5,8,,2020-11-16T06:36:36,2020-11-16T18:25:55,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",17 11 2020,32.2,24,27.7,39.5,24,31.4,24.6,83.8,0.2,100,8.33,rain,0,0,25.2,25.2,210.2,1011.1,58.5,9.2,194,16.7,7,,2020-11-17T06:36:55,2020-11-17T18:26:00,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
